,player_name,birth_date,Club Team,nationality,position,minutes_played,shots_per90,shots_on_target_per90,goals_per90,xgoals_per90,xplace_per90,key_passes_per90,primary_assists_per90,xassists_per90,xgoals_plus_xassists_per90,points_added_per90,xpoints_added_per90,attempted_passes_per90,passes_completed_over_expected_per90,Dribbling_goals_added_raw_per90,Dribbling_goals_added_above_avg_per90,Dribbling_count_actions_per90,Fouling_goals_added_raw_per90,Fouling_goals_added_above_avg_per90,Fouling_count_actions_per90,Interrupting_goals_added_raw_per90,Interrupting_goals_added_above_avg_per90,Interrupting_count_actions_per90,Passing_goals_added_raw_per90,Passing_goals_added_above_avg_per90,Passing_count_actions_per90,Receiving_goals_added_raw_per90,Receiving_goals_added_above_avg_per90,Receiving_count_actions_per90,Shooting_goals_added_raw_per90,Shooting_goals_added_above_avg_per90,Shooting_count_actions_per90,passes_completed_over_expected_p100passes,goalsAdded_raw_per90,goalsAdded_above_avg_per90
Philip Quinton,Philip Quinton,1999-11-16,Columbus Crew,USA,CB,1055,0.17061611374407584,0.08530805687203792,0.08530805687203792,0.014186729857819906,0.037689099526066354,0.2559241706161137,0,0.028723222748815166,0.04290995260663508,0.007404739336492891,0.0023971563981042654,54.34123222748815,0.5552957345971564,-0.012344075829383886,-0.014041706161137441,15.09952606635071,-0.02234218009478673,-0.013000947867298579,1.0236966824644549,0.04486350710900474,-0.025063507109004738,13.47867298578199,0.041451184834123224,-0.00776303317535545,54.34123222748815,0.00823222748815166,-0.011593364928909953,39.497630331753555,0.004436018957345972,-0.005655924170616114,0.17061611374407584,1.0219,0.06429668246445498,-0.07711848341232228
Maximiliano Urruti,Maximiliano Urruti,1991-02-22,Austin FC,Argentina,ST,1121,1.8465655664585192,0.2408563782337199,0.08028545941123996,0.2530918822479929,-0.18021677074041034,0.32114183764495985,0,0.020167707404103483,0.27325958965209635,0.024446922390722572,0.14163960749330953,10.838537020517395,-0.5281097234611953,-0.006599464763603926,0.006583407671721677,7.546833184656557,0.0047528991971454064,-0.007041034790365745,2.8902765388046388,0.03899464763603925,0.0064388938447814455,4.977698483496877,-0.035807314897413026,-0.007442462087421945,10.838537020517395,0.12648974130240856,-0.049150758251561115,10.838537020517395,0.05896164139161463,-0.004672613737734166,1.8465655664585192,-4.8725000000000005,0.18679214986619092,-0.05528456735057985
Rodolfo Pizarro,Rodolfo Pizarro,1994-02-15,Inter Miami CF,Mexico,AM,1020,1.1470588235294117,0.35294117647058826,0,0.07723235294117647,-0.05106176470588235,1.8529411764705883,0,0.19289117647058826,0.2701235294117647,0,0.04305882352941177,41.911764705882355,-0.32771470588235296,-0.005302941176470588,-0.0189,23.647058823529413,0.005779411764705883,-0.00301764705882353,2.5588235294117645,0.04248529411764706,-0.001297058823529412,7.147058823529412,0.030458823529411767,0.010755882352941176,41.911764705882355,0.05737941176470588,-0.030264705882352944,40.23529411764706,0.025958823529411767,-0.018555882352941176,1.1470588235294117,-0.7819,0.15675882352941176,-0.06127941176470589
Gastón Giménez,Gastón Giménez,1991-07-27,Chicago Fire FC,Argentina,DM,2440,0.9590163934426229,0.14754098360655737,0.036885245901639344,0.054213934426229515,-0.02257377049180328,0.5901639344262295,0.036885245901639344,0.0481905737704918,0.10240450819672131,0.022913114754098362,0.02765655737704918,45,-0.019434836065573773,0.01125,0.0017188524590163934,11.28688524590164,-0.00619672131147541,-0.0031352459016393444,2.028688524590164,0.08313196721311476,0.01583483606557377,12.282786885245901,0.0400094262295082,0.0013315573770491804,45,0.016484016393442623,-0.013164344262295083,32.717213114754095,0.016900819672131147,-0.0015971311475409837,0.9590163934426229,-0.0432,0.16157950819672132,0.0009885245901639335
Wil Trapp,Wil Trapp,1993-01-15,Minnesota United FC,USA,DM,2640,0.7840909090909091,0.10227272727272728,0,0.02092159090909091,-0.017740909090909092,0.7159090909090909,0,0.0704556818181818,0.09137727272727274,0,0.0180375,47.18181818181818,0.6931056818181818,0.009753409090909092,-0.00016022727272727274,10.022727272727273,-0.0036920454545454544,-0.0009818181818181818,1.3295454545454546,0.06276136363636363,-0.0042681818181818185,11.795454545454545,0.07718181818181818,0.0369375,47.18181818181818,0.0037568181818181823,-0.026642045454545456,36.34090909090909,0.010857954545454546,-0.008188636363636365,0.7840909090909091,1.469,0.16061931818181818,-0.003303409090909098
Gabriel Segal,Gabriel Segal,2001-05-17,New York City FC,USA,ST,473,2.66384778012685,0.7610993657505285,0.38054968287526425,0.36043763213530655,-0.0007420718816067654,0.9513742071881607,0,0.07045877378435518,0.4309154334038055,0.7060528541226216,0.41171670190274845,24.16490486257928,-1.8665581395348836,-0.04983298097251586,-0.03297463002114165,5.708245243128964,0.006602536997885836,-0.0060126849894291765,2.473572938689218,0.05616913319238901,0.025896405919661736,4.947145877378436,-0.06636786469344609,-0.0326892177589852,24.16490486257928,0.1566342494714588,-0.03247991543340381,23.21353065539112,0.06655813953488372,-0.00045665961945031715,2.66384778012685,-7.7242,0.16976321353065543,-0.07871670190274842
Miguel Tapias,Miguel Tapias,1997-01-09,Minnesota United FC,Mexico,CB,3136,0.4017857142857143,0.08609693877551021,0.028698979591836735,0.01697544642857143,-0.0012110969387755103,0.05739795918367347,0,0.0030076530612244898,0.0199859693877551,0.01021970663265306,0.018878188775510205,42.10140306122449,0.750030612244898,0.005860331632653061,0.004167091836734694,10.589923469387756,-0.009137755102040818,0.0001980229591836735,1.1766581632653061,0.05867793367346939,-0.011241390306122449,13.689413265306122,0.04434279336734695,-0.00486734693877551,42.10140306122449,0.009028698979591836,-0.010799426020408164,31.7984693877551,0.007786033163265305,-0.00230452806122449,0.4017857142857143,1.7815,0.11655803571428572,-0.024847576530612245
Michael Baldisimo,Michael Baldisimo,2000-04-13,San Jose Earthquakes,Canada,CM,358,0,0,0,0,0,0,0,0,0,0,0,36.95530726256983,0.738427374301676,-0.019483240223463687,-0.028307262569832403,10.810055865921788,-0.08225698324022346,-0.0819804469273743,3.016759776536313,-0.0055810055865921785,-0.0675,13.324022346368714,0.01458100558659218,-0.01862849162011173,36.95530726256983,0.006284916201117319,-0.03424022346368715,29.162011173184357,0,-0.02383240223463687,0,1.9982000000000002,-0.08645530726256982,-0.2544888268156425
Jack Skahan,Jack Skahan,1998-02-07,San Jose Earthquakes,USA,W,428,0.8411214953271028,0.2102803738317757,0.2102803738317757,0.19896728971962618,-0.01230140186915888,1.0514018691588785,0.2102803738317757,0.08928504672897197,0.28825233644859816,0.14999299065420563,0.09494158878504673,24.813084112149532,0.2322126168224299,-0.02674766355140187,-0.03459112149532711,16.19158878504673,0.050572429906542066,0.04445327102803738,1.8925233644859814,0.027672897196261682,-0.019934579439252337,5.88785046728972,-0.013352803738317758,-0.018567757009345796,24.813084112149532,0.13226635514018692,0.03778738317757009,25.233644859813083,0.03366588785046729,-0.008600467289719626,0.8411214953271028,0.9359000000000001,0.20407710280373834,0.0005467289719626057
Denil Maldonado,Denil Maldonado,1998-05-26,Los Angeles FC,Honduras,CB,1880,0.2872340425531915,0.09574468085106383,0.047872340425531915,0.03452553191489362,0.01187712765957447,0.14361702127659576,0,0.03208882978723404,0.06661914893617021,0.045607978723404254,0.024434042553191492,47.297872340425535,0.04054308510638298,0.0002824468085106383,-0.002187765957446809,14.553191489361701,-0.026889893617021276,-0.018287234042553193,1.4840425531914894,-0.009129255319148936,-0.07717021276595745,13.547872340425531,0.04937074468085107,0.001991489361702128,47.297872340425535,0.03149521276595745,0.011556382978723403,36.526595744680854,0.006438829787234043,-0.003777127659574468,0.2872340425531915,0.0857,0.05156808510638299,-0.08787446808510639
Jonathan Lewis,Jonathan Lewis,1997-06-04,Colorado Rapids,USA,ST,1341,1.6778523489932886,0.6711409395973155,0.06711409395973154,0.20978523489932885,-0.04648993288590604,0.738255033557047,0,0.03404026845637584,0.24382550335570471,0.00021476510067114097,0.14544966442953022,18.120805369127517,0.01823489932885906,0.00389261744966443,0.0016442953020134228,14.429530201342281,0.025322147651006714,0.014825503355704699,1.9463087248322148,0.025436241610738253,-0.012114093959731544,3.825503355704698,-0.012838926174496643,-0.0016912751677852348,18.120805369127517,0.07597986577181208,-0.05850335570469799,18.926174496644297,0.03963758389261745,-0.015436241610738255,1.6778523489932886,0.10060000000000001,0.1574295302013423,-0.0712751677852349
Judson,Judson,1993-05-25,San Jose Earthquakes,Brazil,CM,559,0.16100178890876565,0,0,0.008887298747763865,-0.008887298747763865,0.16100178890876565,0,0.00262432915921288,0.011511627906976745,0,0.005135957066189625,37.35241502683363,0.2500035778175313,0.0004508050089445438,-0.008613595706618963,4.991055456171735,-0.008887298747763865,-0.00792128801431127,2.737030411449016,0.10975491949910555,0.04651341681574239,14.007155635062611,0.013330948121645796,-0.01866010733452594,37.35241502683363,0.0028819320214669053,-0.035194991055456176,28.17531305903399,0.000032200357781753134,-0.02250805008944544,0.16100178890876565,0.6693,0.1175635062611807,-0.0463846153846154
Indiana Vassilev,Indiana Vassilev,2001-02-16,St. Louis City SC,USA,CM,2505,1.3293413173652695,0.39520958083832336,0.0718562874251497,0.08978443113772455,-0.011313772455089821,1.437125748502994,0.1437125748502994,0.08053652694610779,0.17032095808383232,0.00891377245508982,0.04336526946107785,30.50299401197605,-0.32855209580838324,0.03352095808383233,0.023547305389221555,13.508982035928144,0.02350419161676647,0.021750898203592817,2.191616766467066,0.03952455089820359,-0.017881437125748505,8.51497005988024,0.016268263473053893,-0.01167305389221557,30.50299401197605,0.025505389221556887,-0.02601916167664671,24.07185628742515,0.02817125748502994,-0.00028023952095808385,1.3293413173652695,-1.0771,0.1664946107784431,-0.010555688622754494
Matt Real,Matt Real,1999-07-10,Philadelphia Union,USA,FB,583,0.4631217838765009,0.15437392795883362,0,0.038037735849056606,-0.013245283018867925,0.6174957118353345,0.15437392795883362,0.027370497427101202,0.06540823327615782,0,0.036787307032590054,35.8147512864494,-0.2603979416809606,-0.0007409948542024014,-0.006128644939965695,6.9468267581475125,-0.007610634648370498,-0.005310463121783877,2.6243567753001713,0.09284048027444254,0.037373927958833625,12.504288164665523,0.02062435677530017,-0.0092778730703259,35.8147512864494,0.04240651801029159,0.005850771869639795,23.156089193825043,0.008089193825042883,-0.009154373927958835,0.4631217838765009,-0.7271000000000001,0.1556089193825043,0.013353344768439114
Jake Nerwinski,Jake Nerwinski,1994-10-17,St. Louis City SC,USA,FB,2528,0.17800632911392406,0.03560126582278481,0,0.002833860759493671,0.000651503164556962,0.5340189873417721,0.07120253164556962,0.04070648734177215,0.04354034810126583,0,0.001132120253164557,40.12262658227848,0.3842551424050633,-0.011581091772151901,-0.018715585443037974,9.32753164556962,-0.006376186708860759,-0.0021787974683544304,1.8156645569620253,0.035576344936708866,-0.021186313291139243,13.421677215189874,0.050614319620253166,0.014215585443037977,40.12262658227848,0.0030901898734177215,-0.017498022151898735,22.250791139240505,0.0031827531645569626,-0.007775316455696204,0.17800632911392406,0.9577,0.07450632911392405,-0.053138449367088614
Shaq Moore,Shaq Moore,1996-11-02,Nashville SC,USA,FB,3257,0.276327909118821,0,0,0.008270494319926313,-0.008270494319926313,0.7737181455326988,0.1105311636475284,0.08097789376727049,0.08924838808719682,0,0.0050761436905127424,42.19527172244397,0.3805505066011667,-0.005029167945962542,-0.012163954559410502,11.633404973902364,-0.0008621430764507216,0.0033352778630641694,1.8237642001842187,0.0725167331900522,0.015753454098863987,10.638624501074608,0.013852318084126498,-0.0225483573840958,42.19527172244397,0.014551427694197115,-0.006035001535155051,29.73288302118514,0.004962849247774025,-0.0059935523487872275,0.276327909118821,0.9019,0.09999201719373658,-0.02765213386552042
Jaylin Lindsey,Jaylin Lindsey,2000-03-27,Charlotte FC,USA,FB,1472,0.36684782608695654,0.06114130434782609,0.06114130434782609,0.057020380434782615,-0.031127038043478262,0.6114130434782609,0.12228260869565218,0.06966440217391304,0.12668478260869567,0.03187296195652174,0.0354741847826087,50.07472826086956,0.8520835597826085,0.0011372282608695654,-0.0064687500000000005,8.92663043478261,-0.018134510869565218,-0.014557744565217393,1.528532608695652,0.04430298913043478,-0.011812500000000002,11.922554347826088,0.07310665760869565,0.03837228260869565,50.07472826086956,0.030234375,0.006095788043478261,33.994565217391305,0.010063858695652173,-0.002580163043478261,0.36684782608695654,1.7016,0.14071059782608697,0.009048913043478253
Raheem Edwards,Raheem Edwards,1995-07-17,LA Galaxy,Canada,FB,2064,0.7412790697674418,0.2616279069767442,0.0872093023255814,0.052055232558139534,0.01476889534883721,0.7848837209302325,0.0436046511627907,0.062498546511627916,0.11454941860465115,0.03589970930232558,0.030318313953488375,48.008720930232556,0.47479796511627903,0.036156976744186047,0.02803779069767442,17.049418604651162,0.004992732558139534,0.007892441860465116,2.877906976744186,0.06863808139534884,0.013242732558139536,13.648255813953488,-0.00905668604651163,-0.041952034883720936,48.008720930232556,0.025186046511627907,-0.0028691860465116276,38.502906976744185,0.018536337209302325,0.0040421511627906975,0.7412790697674418,0.989,0.144453488372093,0.008393895348837211
